season,week,celebrity_name,ballroom_partner,celebrity_industry,results,placement,in_competition,eliminated_end_of_week,j_total,j_pct,j_rank,judge_n,trend_used,log_trend_rel,trend_missing,pV_hat,elim_prob_hat,eta_hat,rule_type,rank_hat_week,risk_rank_week,pred_top3_pos,pred_is_top3,pV_mean,pV_std,pV_cv,pV_ci_2.5,pV_ci_97.5,pV_ci_95_width,pV_ci_1.5,pV_ci_98.5,pV_ci_97_width,n_bootstrap_samples
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,Eliminated Week 3,5,True,False,18.0,0.165137615,4.5,3,0.0,-4.110873858073311,0.0,0.174468311486905,0.1144976910862517,0.0471709156087602,R1_Rank,2.0,5.0,,False,0.1754304128562226,0.0068175856968971,0.0388620512595193,0.1581164068702656,0.1843098414535421,0.0261934345832764,0.1515297056617257,0.1846359886219896,0.0331062829602638,101
1,1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,3rd Place,3,True,False,20.0,0.183486239,2.0,3,0.0,-4.110873858073311,0.0,0.1731910877071077,0.0937836746340778,0.0398233246683948,R1_Rank,3.0,6.0,,False,0.1733150914207269,0.0056202851210616,0.0324281346476531,0.1640949188203893,0.1861333974065441,0.0220384785861548,0.1637951548923763,0.1867974880092942,0.0230023331169179,101
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,2nd Place,2,True,False,20.0,0.183486239,2.0,3,0.0,-4.110873858073311,0.0,0.1583944679457678,0.199316041545052,-0.0494836592939297,R1_Rank,5.0,2.0,,False,0.1714454270252981,0.0048922429852394,0.0285352783688859,0.1627861699587272,0.1804958578175259,0.0177096878587986,0.161504551479489,0.1815662139391171,0.020061662459628,101
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,1st Place,1,True,False,13.0,0.119266055,6.0,3,5.0,-2.3191143939285896,0.0,0.1774940347154302,0.1181651811602995,0.0643647876341434,R1_Rank,1.0,4.0,3.0,True,0.1749204751739473,0.0058295866617221,0.0333270685202805,0.1641033496090186,0.1873317546314924,0.0232284050224737,0.1631950361965307,0.1880835600202565,0.0248885238237257,101
1,1,Rachel Hunter,Jonathan Roberts,Model,Eliminated Week 4,4,True,False,20.0,0.183486239,2.0,3,50.0,-0.1790482313293775,0.0,0.1626451727827464,0.1611003133951188,-0.0230012395573742,R1_Rank,4.0,3.0,1.0,True,0.1707872968752626,0.0066275558217321,0.0388059061943737,0.15824334688176,0.183057951613181,0.024814604731421,0.1570784510027304,0.1841261644023588,0.0270477133996284,101
1,1,Trista Sutter,Louis van Amstel,TV Personality,Eliminated Week 2,6,True,False,18.0,0.165137615,4.5,3,0.0,-4.110873858073311,0.0,0.1538069253620428,0.3131370981792002,-0.0788741290599945,R1_Rank,6.0,1.0,2.0,True,0.1341012966485423,0.0084129026096319,0.0627354307518796,0.1159385249747024,0.1460466674395059,0.0301081424648035,0.1143751100156658,0.1473190941259444,0.0329439841102786,101
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,Eliminated Week 3,5,True,False,14.0,0.115702479,6.0,3,0.0,-3.58351893485611,0.0,0.1755286958279924,0.152326311366906,0.0557550457348465,R1_Rank,1.0,2.0,,False,0.1780620933592965,0.0066458798703977,0.0373233839107328,0.1569714338400072,0.1846014392613457,0.0276300054213385,0.1507862248121754,0.184851280664541,0.0340650558523656,101
1,2,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,3rd Place,3,True,False,21.0,0.173553719,3.0,3,0.0,-3.58351893485611,0.0,0.1729476869042095,0.1204002662047659,0.0409416681360736,R1_Rank,3.0,4.0,,False,0.1765731811406023,0.0054566599452728,0.0309031071990927,0.171109415077706,0.1925852010250399,0.0214757859473339,0.1704526236222924,0.1938949441916012,0.0234423205693087,101
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,2nd Place,2,True,False,26.0,0.214876033,1.0,3,0.0,-3.58351893485611,0.0,0.1711442116333554,0.1033749096681947,0.0304590511776319,R1_Rank,4.0,6.0,,False,0.1713593483665061,0.0038837120819626,0.0226641389511828,0.1650303369333723,0.1792474903424741,0.0142171534091017,0.1646197609118997,0.1813811023462428,0.0167613414343431,101
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,1st Place,1,True,False,17.0,0.140495868,5.0,3,2.0,-2.4849066485880003,0.0,0.1740453706630702,0.1432638809561393,0.0472685233657513,R1_Rank,2.0,3.0,3.0,True,0.1810878361200462,0.0043701136040423,0.0241325629466649,0.1745208372440703,0.1922285240693478,0.0177076868252775,0.174256163009182,0.1934651407673818,0.0192089777581997,101
