season,week,celebrity_name,pV_mean,pV_median,pV_std,pV_cv,pV_ci_2.5,pV_ci_97.5,pV_ci_95_width,pV_ci_1.5,pV_ci_98.5,pV_ci_97_width,n_bootstrap_samples,rule_type,pV_hat,elim_prob,eliminated_end_of_week
8,1,Belinda Carlisle,0.06050872201333707,0.06028131268452361,0.004906104902587751,0.08108095394092721,0.05168510419764835,0.06965963023475184,0.01797452603710349,0.049957636524703496,0.06984452814643802,0.019886891621734522,102,R2_Percent,0.015236390421047142,0.1115899590124597,False
8,1,Chuck Wicks,0.07888434538754663,0.0784560880658871,0.006950061589004495,0.08810444651419637,0.0665507559451907,0.09413543892206985,0.027584682976879146,0.06516720612565138,0.09484899784040077,0.029681791714749384,102,R2_Percent,0.06961409458059975,0.07032540535342563,False
8,1,David Alan Grier,0.06940693984513792,0.069338971708952,0.006550156250367195,0.0943732177932355,0.057799233421680786,0.0818112577678797,0.024012024346198917,0.05729354215045339,0.082030076540471,0.024736534390017606,102,R2_Percent,0.02465534394483129,0.09876117434207726,False
8,1,Denise Richards,0.0685325680009428,0.06856848715541945,0.0066471664745394385,0.09699281186206234,0.05702144634329187,0.08312605852914674,0.026104612185854872,0.05483894146490557,0.08686160484136138,0.03202266337645581,102,R2_Percent,0.01698203399125086,0.10715499121182556,False
8,1,Gilles Marini,0.08769366173515998,0.08707780643771107,0.008424378066276684,0.09606598583736646,0.07276377292054259,0.10454491925086734,0.03178114633032475,0.07106846629444397,0.10670902751056047,0.0356405612161165,102,R2_Percent,0.16512733206149016,0.032405196685460914,False
8,1,Holly Madison,0.07437476711362069,0.07355191069985155,0.0070680965053818035,0.09503352789776173,0.06318577370497544,0.08855747039753631,0.02537169669256087,0.06247517232835416,0.09018196616551556,0.027706793837161403,102,R2_Percent,0.020957550172004992,0.10424744898122017,False
8,1,Lawrence Taylor,0.07730541119681575,0.07737701468926085,0.007060136242663933,0.09132784022956913,0.06446351693266114,0.09101025572895315,0.026546738796292005,0.0640464433509372,0.09196040867396982,0.027913965323032613,102,R2_Percent,0.05564417844963201,0.08680825342397722,False
8,1,Lil' Kim,0.07931530749717954,0.07850883651924022,0.007030682596877302,0.08864219050184372,0.06853802377038162,0.09334982782150153,0.024811804051119907,0.06746121855838554,0.0938177999442302,0.026356581385844666,102,R2_Percent,0.08950672540024153,0.059561463085831365,False
8,1,Melissa Rycroft,0.08895957192819233,0.08886984987631205,0.009621215750321804,0.10815267589291004,0.07109141178840965,0.10825981152791705,0.037168399739507405,0.06948585071551423,0.11129240522146161,0.04180655450594738,102,R2_Percent,0.16761674252601275,0.032771812345227504,False
8,1,Shawn Johnson,0.08692979309564691,0.08651392833223687,0.009372696165555082,0.10781914728869207,0.07062831865064892,0.10650204580736937,0.03587372715672045,0.06876525541056307,0.10801216274298821,0.03924690733242514,102,R2_Percent,0.16999042313627116,0.03223793573051805,False
8,1,Steve Wozniak,0.07049607135451826,0.07024282360784365,0.006972469474833033,0.09890578781006286,0.058963039353644685,0.08439811197845197,0.025435072624807285,0.05752599368491041,0.0859572326936443,0.028431239008733893,102,R2_Percent,0.01943743041604685,0.12146962447071065,False
8,1,Steve-O,0.07565824969311982,0.07499335330225348,0.007846759877821527,0.10371320919594433,0.06297622728665661,0.09250972330332144,0.02953349601666483,0.06234434439336987,0.09448984878957986,0.032145504396209994,102,R2_Percent,0.042637275425661494,0.09231700756380032,False
8,1,Ty Murray,0.08193459113878226,0.08146910066262908,0.007815582882959261,0.09538807449128645,0.0663035281183539,0.09714720267342161,0.030843674555067715,0.06552097990948605,0.0973356249231838,0.031814645013697754,102,R2_Percent,0.14259447947491,0.05034972779346557,False
8,2,Belinda Carlisle,0.0505270198313232,0.05026545144753207,0.00410630575948451,0.08126950240075093,0.04317022867892763,0.05822962873338681,0.01505940005445918,0.04179796037715556,0.05841111249377785,0.016613152116622294,102,R2_Percent,0.013023970592248624,0.11357671048149848,True
8,2,Chuck Wicks,0.08132546424098412,0.08102285682643501,0.00757345348287112,0.09312524131961196,0.06757049536245625,0.09896459180462638,0.03139409644217013,0.06638906276156882,0.09919444159969262,0.0328053788381238,102,R2_Percent,0.07119525045158646,0.07207694552689392,False
8,2,David Alan Grier,0.06367323872810754,0.06392297393303033,0.006437688817943837,0.10110509448771014,0.05244925572731043,0.0749851115621639,0.02253585583485348,0.051062196438517296,0.07541663395984406,0.024354437521326766,102,R2_Percent,0.02172939221467308,0.10976615304727938,False
8,2,Denise Richards,0.056925552839556005,0.05683772170799416,0.005281805592593737,0.09278444089037559,0.04759322287944301,0.06889213722101015,0.021298914341567138,0.04620817292678878,0.07120017385375911,0.024992000926970327,102,R2_Percent,0.014837727039838244,0.1037094393168037,False
8,2,Gilles Marini,0.09274369620901603,0.09205842466961826,0.00967400830392491,0.1043090657301672,0.07574528246917066,0.11207193727993324,0.03632665481076258,0.07415945388261082,0.11448111270401548,0.04032165882140466,102,R2_Percent,0.16288341686968089,0.03183317490900014,False
8,2,Holly Madison,0.06886065779605428,0.067819882419174,0.006500051166919545,0.09439426480895449,0.05843445804592781,0.08189591249281278,0.023461454446884966,0.05748541699836998,0.08289226578561251,0.02540684878724253,102,R2_Percent,0.019086277765076175,0.10891086956097895,False
8,2,Lawrence Taylor,0.08398390102362092,0.08319212088232672,0.008393644036949643,0.0999434883905772,0.0697541708292109,0.10074722000965726,0.03099304918044636,0.06906073733762055,0.10248457648060351,0.033423839142982956,102,R2_Percent,0.0565731489497159,0.07975130250895919,False
8,2,Lil' Kim,0.08107894667804388,0.0797388636437732,0.007968989355317433,0.09828678938025016,0.06841648595673416,0.09827932105861381,0.029862835101879648,0.06824044246173178,0.09884426039556882,0.03060381793383704,102,R2_Percent,0.09194589291112211,0.05773211217880514,False
