season,celebrity_name,true_exit_week,withdrew_flag,season_max_week,true_final_rank
1,Evander Holyfield,3,False,6,4
1,Joey McIntyre,5,False,6,2
1,John O'Hurley,7,False,6,1
1,Kelly Monaco,7,False,6,1
1,Rachel Hunter,4,False,6,3
1,Trista Sutter,2,False,6,5
2,Drew Lachey,9,False,8,1
2,George Hamilton,6,False,8,3
2,Giselle Fernandez,3,False,8,6
2,Jerry Rice,9,False,8,1
2,Kenny Mayne,1,False,8,8
2,Lisa Rinna,7,False,8,2
2,Master P,4,False,8,5
2,Stacy Keibler,9,False,8,1
2,Tatum O'Neal,2,False,8,7
2,Tia Carrere,5,False,8,4
3,Emmitt Smith,11,False,10,1
3,Harry Hamlin,3,False,10,7
3,Jerry Springer,7,False,10,4
3,Joey Lawrence,9,False,10,2
3,Mario Lopez,11,False,10,1
3,Monique Coleman,8,False,10,3
3,Sara Evans,5,True,10,5
3,Shanna Moakler,2,False,10,8
3,Tucker Carlson,1,False,10,9
3,Vivica A. Fox,4,False,10,6
3,Willa Ford,5,False,10,5
4,Apolo Anton Ohno,11,False,10,1
4,Billy Ray Cyrus,8,False,10,3
4,Clyde Drexler,5,False,10,6
4,Heather Mills,6,False,10,5
4,Ian Ziering,9,False,10,2
4,Joey Fatone,11,False,10,1
4,John Ratzenberger,7,False,10,4
4,Laila Ali,11,False,10,1
4,Leeza Gibbons,4,False,10,7
4,Paulina Porizkova,2,False,10,9
4,Shandi Finnessey,3,False,10,8
5,Albert Reed,2,False,10,9
5,Cameron Mathison,8,False,10,3
5,Floyd Mayweather Jr. ,4,False,10,7
5,Helio Castroneves,11,False,10,1
5,Jane Seymour,7,False,10,4
5,Jennie Garth,9,False,10,2
5,Josie Maran,1,False,10,10
5,Marie Osmond,11,False,10,1
5,Mark Cuban,5,False,10,6
5,Mel B,11,False,10,1
5,Sabrina Bryan,6,False,10,5
5,Wayne Newton,3,False,10,8
6,Adam Carolla,4,False,10,7
6,Cristian de la Fuente,11,False,10,1
6,Jason Taylor,11,False,10,1
6,Kristi Yamaguchi,11,False,10,1
6,Mario,8,False,10,3
6,Marissa Jaret Winokur,9,False,10,2
6,Marlee Matlin,6,False,10,5
6,Monica Seles,2,False,10,9
6,Penn Jillette,2,False,10,9
6,Priscilla Presley,5,False,10,6
6,Shannon Elizabeth,7,False,10,4
6,Steve Guttenberg,3,False,10,8
7,Brooke Burke,11,False,10,1
7,Cloris Leachman,6,False,10,5
7,Cody Linley,9,False,10,2
7,Jeffrey Ross,1,False,10,9
7,Kim Kardashian,2,False,10,8
7,Lance Bass,11,False,10,1
