season,week,celebrity_name,ballroom_partner,celebrity_industry,results,placement,in_competition,eliminated_end_of_week,j_total,j_pct,j_rank,judge_n,trend_used,log_trend_rel,trend_missing,pV_hat,elim_prob_hat,eta_hat,rule_type,rank_hat_week,risk_rank_week,pred_top3_pos,pred_is_top3,pV_mean,pV_std,pV_cv,pV_ci_2.5,pV_ci_97.5,pV_ci_95_width,pV_ci_1.5,pV_ci_98.5,pV_ci_97_width,n_bootstrap_samples
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,Eliminated Week 3,5,True,False,18.0,0.165137615,4.5,3,0.0,-4.110873858073311,0.0,0.174468311486905,0.1144976910862517,0.0471709156087602,R1_Rank,2.0,5.0,,False,0.17543041285622263,0.006817585696897173,0.03886205125951939,0.15811640687026568,0.18430984145354218,0.026193434583276498,0.15152970566172574,0.18463598862198963,0.03310628296026388,101
1,1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,3rd Place,3,True,False,20.0,0.183486239,2.0,3,0.0,-4.110873858073311,0.0,0.1731910877071077,0.0937836746340778,0.0398233246683948,R1_Rank,3.0,6.0,,False,0.17331509142072699,0.005620285121061645,0.03242813464765312,0.1640949188203893,0.18613339740654414,0.022038478586154847,0.16379515489237634,0.18679748800929424,0.023002333116917906,101
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,2nd Place,2,True,False,20.0,0.183486239,2.0,3,0.0,-4.110873858073311,0.0,0.1583944679457678,0.199316041545052,-0.0494836592939297,R1_Rank,5.0,2.0,,False,0.1714454270252981,0.004892242985239411,0.02853527836888599,0.16278616995872727,0.1804958578175259,0.017709687858798617,0.16150455147948906,0.18156621393911715,0.020061662459628093,101
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,1st Place,1,True,False,13.0,0.119266055,6.0,3,5.0,-2.3191143939285896,0.0,0.1774940347154302,0.1181651811602995,0.0643647876341434,R1_Rank,1.0,4.0,3.0,True,0.1749204751739473,0.005829586661722168,0.033327068520280514,0.16410334960901868,0.18733175463149246,0.02322840502247378,0.16319503619653075,0.1880835600202565,0.02488852382372575,101
1,1,Rachel Hunter,Jonathan Roberts,Model,Eliminated Week 4,4,True,False,20.0,0.183486239,2.0,3,50.0,-0.1790482313293775,0.0,0.1626451727827464,0.1611003133951188,-0.0230012395573742,R1_Rank,4.0,3.0,1.0,True,0.17078729687526267,0.006627555821732111,0.03880590619437379,0.15824334688176003,0.18305795161318106,0.024814604731421025,0.15707845100273046,0.18412616440235888,0.027047713399628415,101
1,1,Trista Sutter,Louis van Amstel,TV Personality,Eliminated Week 2,6,True,False,18.0,0.165137615,4.5,3,0.0,-4.110873858073311,0.0,0.1538069253620428,0.3131370981792002,-0.0788741290599945,R1_Rank,6.0,1.0,2.0,True,0.13410129664854234,0.0084129026096319,0.06273543075187966,0.11593852497470242,0.14604666743950592,0.030108142464803506,0.11437511001566583,0.14731909412594443,0.0329439841102786,101
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,Eliminated Week 3,5,True,False,14.0,0.115702479,6.0,3,0.0,-3.58351893485611,0.0,0.1755286958279924,0.152326311366906,0.0557550457348465,R1_Rank,1.0,2.0,,False,0.1780620933592965,0.0066458798703977785,0.03732338391073285,0.15697143384000725,0.18460143926134576,0.027630005421338505,0.1507862248121754,0.184851280664541,0.034065055852365606,101
1,2,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,3rd Place,3,True,False,21.0,0.173553719,3.0,3,0.0,-3.58351893485611,0.0,0.1729476869042095,0.1204002662047659,0.0409416681360736,R1_Rank,3.0,4.0,,False,0.17657318114060233,0.005456659945272855,0.03090310719909274,0.171109415077706,0.19258520102503995,0.02147578594733396,0.17045262362229244,0.19389494419160122,0.023442320569308783,101
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,2nd Place,2,True,False,26.0,0.214876033,1.0,3,0.0,-3.58351893485611,0.0,0.1711442116333554,0.1033749096681947,0.0304590511776319,R1_Rank,4.0,6.0,,False,0.1713593483665061,0.003883712081962641,0.022664138951182845,0.16503033693337232,0.17924749034247411,0.01421715340910179,0.16461976091189978,0.18138110234624288,0.016761341434343102,101
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,1st Place,1,True,False,17.0,0.140495868,5.0,3,2.0,-2.4849066485880003,0.0,0.1740453706630702,0.1432638809561393,0.0472685233657513,R1_Rank,2.0,3.0,3.0,True,0.18108783612004622,0.0043701136040423605,0.02413256294666494,0.1745208372440703,0.19222852406934787,0.01770768682527757,0.17425616300918206,0.19346514076738186,0.019208977758199797,101
