rho,omega,kappa_pct,kappa_rank,kappa_b2,gamma,bias_b2,beta_0,beta_1,beta_2,bootstrap_iter
0.5667089213477419,0.4201345754810641,1.5304652466427033,1.7387799817115166,1.7479516849767545,0.4803461403119776,-0.20166535667967378,0.015085878206355484,-0.028951765392704273,0.0,1
0.5665627690236101,0.4210852742892343,1.5285294657740391,1.7343349732586848,1.7481061719118194,0.4745231529515665,-0.13148191401502354,0.02058600361851819,-0.030199567462937484,0.0,2
0.5634194798906732,0.4500588534252211,1.5317801102804245,1.7387734874990364,1.7499479659685189,0.4693310461457868,0.02912326752894462,0.012635373145936704,-0.04064302957540975,-0.00017844047855608122,3
0.5655577476022947,0.41501817950638614,1.531053932544559,1.7424321291052938,1.755436752414767,0.4758433135860984,-0.2394739283344093,0.020326175589273618,-0.02001899046584593,-0.00014166879847975498,4
0.5658757449375221,0.4260474724620975,1.5302410052244637,1.7683346139080396,1.7481490757939437,0.468717384274792,-0.24538186011310267,0.018892518005051366,-0.05745162764800447,0.0,5
0.566623207108548,0.40237420981761174,1.5323219952185958,1.739944147848731,1.7417646525318276,0.47366732808945106,0.2003013314708386,0.012383954041319162,-0.049922447467314196,-4.2828023220074074e-05,6
0.5635122313330709,0.4264977733910608,1.532567091890711,1.7468208752089212,1.7489013703859055,0.4741837683126049,0.15764834907188158,0.02628563393447186,-0.06206638531142405,-1.449848423266072e-05,7
0.5681856325351947,0.4370402207385672,1.5329097446748776,1.7469636049888677,1.749073577116266,0.47513347071688783,0.04567343841113624,0.0177414960718449,-0.02071830517082837,0.00015031719763955006,8
0.5660398359008544,0.4290235652689395,1.5284302118444864,1.7391806102070857,1.7368074812641854,0.4677612068407622,0.3396018426307721,0.04441973695054154,-0.06058805047017294,0.00018280580317709793,9
0.5685638742505625,0.4488147116961656,1.5322282396885,1.7408973537745542,1.7496680954544128,0.47008436296596956,0.22554735610477206,0.02697784132396007,-0.04831400950831853,-0.00022590788975949502,10
0.5633364616447702,0.44754470335660906,1.5329126041677488,1.7471338429908765,1.7490853529893688,0.4741473583452447,0.17005983384347928,0.006259951929717971,-0.025095965755350915,0.0,11
