season,week,celebrity_name,celebrity_idx,n_alive,rule_type,pV_hat,pV_rank,elim_prob,elim_rank,eta,alpha,eps_residual,trend_effect,log_trend_rel,delta_log_trend,trend_missing,eliminated_end_of_week,prediction_correct
1,1,Evander Holyfield,0,6,R1_Rank,0.17446831148690503,2,0.11449769108625174,5,0.04717091560876022,0.036631387177223244,0.012789601690185438,-0.059421416669760585,-4.110873858073311,0.0,0.0,False,
1,1,Joey McIntyre,1,6,R1_Rank,0.1731910877071077,3,0.09378367463407783,6,0.039823324668394874,0.033999497792175565,0.008073900134867768,-0.059421416669760585,-4.110873858073311,0.0,0.0,False,
1,1,John O'Hurley,2,6,R1_Rank,0.1583944679457678,5,0.199316041545052,2,-0.04948365929392975,-0.11499142401302667,0.06775783797774539,-0.059421416669760585,-4.110873858073311,0.0,0.0,False,
1,1,Kelly Monaco,3,6,R1_Rank,0.17749403471543027,1,0.1181651811602995,4,0.06436478763414347,0.08014391853106177,-0.039428389353797215,-0.03352208495423322,-2.3191143939285896,0.0,0.0,False,
1,1,Rachel Hunter,4,6,R1_Rank,0.1626451727827464,4,0.1611003133951188,3,-0.02300123955737427,-0.0797552963284278,0.0021708004492380453,-0.0025880870892966454,-0.17904823132937758,0.0,0.0,False,
1,1,Trista Sutter,5,6,R1_Rank,0.1538069253620428,6,0.31313709817920027,1,-0.07887412905999452,-0.016677501761144062,-0.05994655404020201,-0.059421416669760585,-4.110873858073311,0.0,0.0,False,
1,2,Evander Holyfield,0,6,R1_Rank,0.17552869582799246,1,0.15232631136690603,2,0.055755045734846506,0.036631387177223244,0.022802928371481884,-0.06380360243681238,-3.58351893485611,0.5273549232172008,0.0,False,
1,2,Joey McIntyre,1,6,R1_Rank,0.17294768690420959,3,0.12040026620476595,4,0.040941668136073625,0.033999497792175565,0.014997348085427215,-0.06380360243681238,-3.58351893485611,0.5273549232172008,0.0,False,
1,2,John O'Hurley,2,6,R1_Rank,0.1711442116333554,4,0.10337490966819475,6,0.03045905117763198,-0.11499142401302667,0.09812228871849343,-0.06380360243681238,-3.58351893485611,0.5273549232172008,0.0,False,
1,2,Kelly Monaco,3,6,R1_Rank,0.17404537066307027,2,0.14326388095613937,3,0.04726852336575138,0.08014391853106177,-0.036433087064430165,-0.03214439333390363,-2.4849066485880003,-0.1657922546594106,0.0,False,
1,2,Rachel Hunter,4,6,R1_Rank,0.17082975823101998,5,0.11561624552473343,5,0.028620001900950376,-0.0797552963284278,0.007645635159636042,-0.0022791732823331944,-0.21622310834549802,-0.03717487701612043,0.0,False,
1,2,Trista Sutter,5,6,R1_Rank,0.13550427674035231,6,0.3650183862792606,1,-0.20304429031525387,-0.016677501761144062,-0.11519242458401384,-0.06380360243681238,-3.58351893485611,0.5273549232172008,0.0,True,True
1,3,Evander Holyfield,0,5,R1_Rank,0.16922539405379664,5,0.4735960274468967,1,-0.16383543446460191,0.036631387177223244,-0.1604722457109891,-0.05853728809618089,-2.7725887206397815,0.8109302142163286,0.0,True,True
1,3,Joey McIntyre,1,5,R1_Rank,0.20908223245163962,2,0.1346212239083915,3,0.04766067785177529,0.033999497792175565,0.06495949737864042,-0.05853728809618089,-2.7725887206397815,0.8109302142163286,0.0,False,
1,3,John O'Hurley,2,5,R1_Rank,0.20777071687941612,3,0.12245387809159276,4,0.041368195566035645,-0.11499142401302667,0.07912995816211255,-0.05853728809618089,-2.7725887206397815,0.8109302142163286,0.0,False,
1,3,Kelly Monaco,3,5,R1_Rank,0.20921475720990845,1,0.15252724013244406,2,0.048294317423554715,0.08014391853106177,0.0520368476377458,-0.054176940377056504,-0.28768207231844756,2.197224576269553,0.0,False,
1,3,Rachel Hunter,4,5,R1_Rank,0.20470689940523928,4,0.11680163042067485,5,0.026512243623236273,-0.0797552963284278,-0.01321302586907508,0.018117311893837362,-2.7725887206397815,-2.5563656122942833,0.0,False,
1,4,Joey McIntyre,1,4,R1_Rank,0.2653828234689395,1,0.2252919813215562,2,0.06349744926590632,0.033999497792175565,0.06436947359360223,-0.03973769638041011,-2.8134107151133696,-0.04082199447358814,0.0,False,
1,4,John O'Hurley,2,4,R1_Rank,0.2631572214898058,2,0.19751268595432145,3,0.05507570277864503,-0.11499142401302667,0.07252245899060025,-0.03973769638041011,-2.8134107151133696,-0.04082199447358814,0.0,False,
1,4,Kelly Monaco,3,4,R1_Rank,0.25753772748023734,3,0.1557807205646338,4,0.03349027272880889,0.08014391853106177,-0.009948143364724285,0.0006597889210935935,-0.8675005674866278,-0.5798184951681803,0.0,False,
1,4,Rachel Hunter,4,4,R1_Rank,0.21392222756101728,4,0.4214146121594886,1,-0.15206342477336024,-0.0797552963284278,-0.10644416866504507,-0.05666366898761295,-0.7765287892581269,1.9960599313816547,0.0,True,True
1,5,Joey McIntyre,1,3,R1_Rank,0.2938053484388562,3,0.6263188553131643,1,-0.12254866086542214,0.033999497792175565,-0.12722738578172757,-0.03823497586189687,-3.106080328340269,-0.29266961322689955,0.0,True,True
1,5,John O'Hurley,2,3,R1_Rank,0.352194318046814,2,0.165133758477538,3,0.05871693439353051,-0.11499142401302667,0.07258877973680244,-0.03823497586189687,-3.106080328340269,-0.29266961322689955,0.0,False,
1,5,Kelly Monaco,3,3,R1_Rank,0.3540003335143297,1,0.20854738620929772,2,0.06383172647189161,0.08014391853106177,0.0644065918552114,-0.018968553556661074,-0.09381875512249943,0.7736818123641285,0.0,False,
